"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"/imune","none","STORCK V3\n\nlink pelo encurta!\nhttps://seulink.net/RTIc7C\n\ncomo passar pelo encurta\nhttps://youtu.be/GUe_cKlzd2s","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"/grupos","none","salve, estes são alguns dos grupos que eu gosto bastante.<#>RIP BOOT (grupo de Bot pra conversar)\n\nhttps://chat.whatsapp.com/KqXrF5eI8jsJPoPnD9anRw<#>LAB PARA TRAVAS\n\nhttps://chat.whatsapp.com/GfTUZEW6dytAUXXw0irT3C<#>GRUPO DO BOT DE FIG\n\nhttps://chat.whatsapp.com/IKDxFDqUmrdIQQQeFqynho<#>100% Confiança","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"/fca","none","Olá, para fechar parceria, basta mandar o comando: ""/codigo"" que estarei enviando o número do meu criador.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/tag","none","Estou sem tags no momento","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"/ddi","none","segue o tutor! \nhttps://youtu.be/gvcAifM_p3o\n\npara faze-lo funcionar, é preciso um WhatsApp com número fake.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/nif","none","favor chamar se identificando.\n\nwa.me/015872066911\n\nnão tenho medo.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/hhh","none","resete o modem, mudará seu ip e ele não poderá te localizar.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/aaa","none","O endereço IP é um número exclusivo atribuído a cada computador por um protocolo de internet. O endereço IP tem a função de identificar um computador em uma rede. ... A sigla IP significa Internet Protocol, ou, na nossa língua, protocolo de internet.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/iii","none","puxar dados, serve para poder ""assustar"" um indivíduo com a documentação dela.\ntambém serve para obter informações de pessoas para entrar na justiça e etc.\napenas por uma placa de carro, conseguimos já, puxar os dados de uma pessoa.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot fdp","none","fdp é vc seu arrombado!<#>resto de aborto!<#>vc é um merda man! ofendendo um cara q te ajuda<#>seu lixo","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot arrombado","none","isso q vc n viu oq eu fiz com sua irmã 👀👀👀👀🌚🔥","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot arrmbd","none","o seu cu! fi da puta","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"bot pau no cu","none","oq vc disse? meu pau no seu cu? seu viado!","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot pnc","none","oq? vc me chamou de q? oq é ""pnc""? 🙂","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot baiano","none","para de xenofobiar seu xenofobico 😔👍","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot cadê seu pai?","none","não sei, deve tá comendo a sua mãe","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!novidades","none","bot saiu do conserto! \nPara usá-lo acrescente\n/Menu","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"%mensagem_de_boas-vindas%","welcome","bot saiu do conserto! experimente usar o comando\n/Menu","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot dê às boas vindas","none","af, ok!<#>membro novo do grupo %name% paga boquete p adm 🐒🐊","all","","","g","","","","","0","","","","","","","","seconds","0","0"
"/musicas","none","TETO (album)\nhttps://youtu.be/4wNhqC_R48I\n\nMATUE e OROCHI (álbum)\nhttps://youtu.be/MGCtbvPtSZg","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/especiais","none","VOCÊ NÃO TEM O ADM! MACACO 🐒","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/apk","none","https://seulink.net/El5J3\n\nlink pelo encurta!\n\ncomo passar pelo encurta\n\nhttps://youtu.be/GUe_cKlzd2s","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!ttt","none","tutor no meu canal!\n\nhttps://youtu.be/gvcAifM_p3o\n\n(é passo-a-passo!)","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"removeu você 1","none","tá tão engraçado hoje, né? o filha da puta!\ntá c o patati Patatá enfiado no cu é?","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"/codigo","none","Olá, eu sou o criador do bot.\n\nwa.me/+5521975173221","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/off","none","o bot está sendo desligado...","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"/on","none","Olá, obrigado por ter me ativado.\nutilize /Menu para mais comandos.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"convite para participar do meu grupo no whatsapp","none","olá %name% \npara fechar parceria comigo, é necessário ter um grupo supervisionado e bem cuidado!\no grupo é bem cuidado?<#>se sim, favor entrar em contato com meu criador.\n\nhttp://wa.me/+5521975173221","all","","","c","","","","","0","","","","","","","","seconds","0","0"
